Year,Country,Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Stateless persons,Others of concern,Ref and Asyl,SUM REFUGEE,GDP_annual_change,Adjusted savings: net national savings (current US$),Adjusted savings: particulate emission damage (current US$),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Air transport, passengers carried",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Death rate, crude (per 1,000 people)",Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$),Ease of doing business score (0 = lowest performance to 100 = best performance),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),GNI growth (annual %),"International tourism, expenditures (current US$)","International tourism, receipts (current US$)",Military expenditure (current USD),Population growth (annual %),Prevalence of undernourishment (% of population),Refugee population by country or territory of asylum,Strength of legal rights index (0=weak to 12=strong),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Net official flows from UN agencies: Total,Country / Economy,Region,Income,Intl tourism expenditures recipts and asylum seekers,Intl tourism expenditures receipts and military,net inflows UN and refugee pop,SUM REFUGEE and undernourishment
2017,Cyprus,9790.0,5216.0,0.0,0.0,6000.0,15006.0,21006.0,5.852540355,727587525.9,17393637.96,4.582,711554.0,6.59893894,1750.507324,6.952,732.0699092,1011.199167,72.28343,34.21499653,36.70921083,7.038469238,1378000000.0,3274000000.0,359061651.0,0.808217946,2.5,9790.0,7.0,11.05000019,0.0,Cyprus,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,2.3532359552e+22,1.619932490925372e+27,0.0,52515.0
2018,Cyprus,11002.0,10267.0,0.0,0.0,6000.0,21269.0,27269.0,5.692841724,876319413.0,19256530.92,4.4586,401408.0,6.77018547,1981.778442,7.022,845.7064859,1128.64209,72.77735,35.78741866,35.57015641,4.987048965,1569000000.0,3449000000.0,450408979.9,0.808549298,2.5,11002.0,7.0,8.369999886,0.0,Cyprus,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,5.5559675427e+22,2.4373796369582317e+27,0.0,68172.5
2019,Cyprus,12311.0,18799.0,0.0,0.0,4000.0,31110.0,35110.0,5.283187396,885596476.2,20938614.98,4.3352,395436.0,7.00903225,1996.458252,7.099,1118.14242,864.3467889,73.35105,36.77533784,36.4768018,4.059808688,1596000000.0,3245000000.0,401589789.5,0.779957016,2.5,12311.0,7.0,7.070000172,0.0,Cyprus,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,9.736039698e+22,2.07984155161629e+27,0.0,87775.0
2016,Czechia,3640.0,769.0,0.0,1502.0,0.0,4409.0,5911.0,3.231784734561471,11280157815.0,177823659.6,11.728,4048658.0,7.10655022,1321.620239,10.2,1082.120392,239.499811,76.38834,28.91055035,16.56101029,3.19485865,4962000000.0,7041000000.0,1954935000.0,0.192048416,2.5,3640.0,7.0,3.950000048,0.0,Czechia,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,2.6866892898e+22,6.830042817627e+28,0.0,14777.5
2017,Czechia,3640.0,799.0,0.0,1502.0,0.0,4439.0,5941.0,3.231784734561471,15894157542.0,189314360.2,11.972,5450671.0,7.14152622,1475.915283,10.5,1206.806562,269.1088011,76.42162,29.56565123,15.41291946,5.35915841,5533000000.0,7695000000.0,2077722061.0,0.265642664,2.5,3640.0,7.0,2.890000105,0.0,Czechia,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,3.4018571565000003e+22,8.846199827823255e+28,0.0,14852.5
2018,Czechia,2186.0,1910.0,0.0,1502.0,0.0,4096.0,5598.0,3.231784734561471,17255840214.0,215528191.0,11.9314,8851291.0,7.52479792,1765.588623,10.6,1460.208509,305.3801147,76.322,30.21688169,14.1757715,3.188016289,6074000000.0,8283000000.0,2710017583.0,0.334427262,2.5,2186.0,7.0,2.24000001,0.0,Czechia,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,9.609389922e+22,1.3634353743729318e+29,0.0,13995.0
2019,Czechia,2054.0,1632.0,0.0,1394.0,413.0,3686.0,5493.0,3.231784734561471,15972387403.0,232682266.7,11.8908,5446163.2,7.83470726,1844.217773,10.5,1503.00833,341.2094728,76.34054,34.98494603,13.97834957,2.626627037,6034000000.0,7967000000.0,2910252497.0,0.393788864,2.5,2054.0,7.0,2.00999999,0.0,Czechia,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,7.8454936896e+22,1.3990421323747636e+29,0.0,13732.5
2016,Dem. Rep. of the Congo,451957.0,1324.0,2232900.0,0.0,0.0,453281.0,2686181.0,3.231784734561471,1907147530.0,687034936.8,125.2448,416033.0,4.36603069,20.57792664,9.919,2.59802606,9.08439479,34.39028,0.001269211,0.0,8.834043438,60000000.0,4300000.0,395733745.2,3.282934175,39.9,451957.0,6.0,4.477000237,113281527.8,Dem. Rep. of the Congo,SUB-SAHARAN AFRICA ,,3.41592e+17,1.020993062616e+23,51198379459904.6,107178621.89999999
2017,Dem. Rep. of the Congo,537089.0,807.0,4351376.0,0.0,0.0,537896.0,4889272.0,3.231784734561471,5735350590.0,674720857.5,124.22,959738.0,4.15646648,19.41378212,9.691,1.93147854,9.23667387,34.57002,0.00122852,0.0,2.809604316,68000000.0,6000000.0,295236074.3,3.258505772,40.2,537089.0,6.0,4.465000153,141135095.1,Dem. Rep. of the Congo,SUB-SAHARAN AFRICA ,,3.29256e+17,1.204563183144e+23,75802107092163.89,196548734.4
2018,Dem. Rep. of the Congo,529065.0,5770.0,4516866.0,0.0,0.0,534835.0,5051701.0,3.231784734561471,6328591633.0,831852644.0,122.6056,587653.0308,3.30249262,18.52062225,9.482,2.79260914,9.2056325,35.23313,0.005495545,0.0,6.023590474,115000000.0,60500000.0,295348364.6,3.226698861,40.4,529065.0,6.0,4.451000214,119651006.7,Dem. Rep. of the Congo,SUB-SAHARAN AFRICA ,,4.0144775e+19,2.0548862467045002e+24,63303159859735.5,204088720.4
2019,Dem. Rep. of the Congo,523733.0,3192.0,5014253.0,0.0,0.0,526925.0,5541178.0,3.231784734561471,8364833005.0,818245679.7,120.9912,550457.8926,3.53626084,20.57073212,9.292,3.2538868,9.32993526,36.20973,0.013711167,0.0,3.943842615,1454000000.0,2651000000.0,352709565.6,3.187086265,41.7,523733.0,6.0,4.451000214,404241035.2,Dem. Rep. of the Congo,SUB-SAHARAN AFRICA ,,1.2303736368e+22,1.3595380669217424e+27,211714370088401.6,231067122.60000002
2016,Denmark,33501.0,7001.0,0.0,7610.0,0.0,40502.0,48112.0,3.245956985,40661768544.0,147350510.6,4.1856,4048658.0,10.14456177,5565.593262,9.2,4681.911653,883.6817721,84.59517,43.09670097,24.4292373,2.222531262,9174000000.0,7494000000.0,3592727944.0,0.780392644,2.5,33501.0,8.0,5.989999771,0.0,Denmark,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,4.81318441956e+23,2.4699988806997047e+29,0.0,120280.0
2017,Denmark,35668.0,4229.0,0.0,7990.0,0.0,39897.0,47887.0,2.821736341,42574958783.0,154713227.1,4.123,4048658.0,10.03963375,5800.152832,9.2,4873.521752,926.6312901,84.5806,43.81979996,19.17211215,2.635787193,9804000000.0,8508000000.0,3764033344.0,0.643350904,2.5,35668.0,8.0,5.829999924,0.0,Denmark,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,3.52751174928e+23,3.139671753521326e+29,0.0,119717.5
2018,Denmark,36623.0,2675.0,0.0,8236.0,0.0,39298.0,47534.0,1.989537315,46666314806.0,167818616.9,4.169,4048658.0,10.0707159,6216.768555,9.5,5214.660217,1002.108025,85.17028,44.0863778,19.50419723,2.239393841,10485000000.0,9097000000.0,4558690187.0,0.495838926,2.5,36623.0,8.0,5.130000114,0.0,Denmark,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,2.55146970375e+23,4.348171925574924e+29,0.0,118835.0
2019,Denmark,37533.0,1462.0,0.0,8672.0,0.0,38995.0,47667.0,2.114664208,52659878057.0,159093968.8,4.215,50957868.6,9.95583057,6003.325195,9.3,5000.148553,1003.176907,85.28856,43.94598914,17.3864442,2.278986023,1454000000.0,2651000000.0,4556755136.0,0.358130916,2.5,37533.0,8.0,5.019999981,0.0,Denmark,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,5.635357948e+21,1.7564258736489345e+28,0.0,119167.5
2018,Djibouti,18293.0,10479.0,0.0,0.0,0.0,28772.0,28772.0,8.407662666,446752869.6,30324437.55,18.4434,4048658.0,2.26254249,71.08630371,7.102,35.12189169,21.90951819,58.38141,2.660067597,3.843374286,8.573796406,1454000000.0,57000000.0,1009216433.0,1.557868695,16.0,18293.0,5.0,26.18899918,7502841.312,Djibouti,MIDDLE EAST AND NORTH AFRICA ,LOWER-MIDDLE INCOME  ,8.68478562e+20,8.3641839534174e+25,137249476120.416,460352.0
2016,Dominican Rep.,593.0,787.0,0.0,0.0,0.0,1380.0,1380.0,3.231784734561471,13226368343.0,274899629.0,94.9256,11903.0,5.82760334,424.3001709,6.097,194.0109814,227.6692636,57.699,7.321349897,12.93637724,6.41514195,882000000.0,6720000000.0,479722172.8,1.122509799,6.8,593.0,1.0,7.28000021,12752819.56,Dominican Rep.,LATIN AMERICA AND THE CARIBBEAN,,4.66458048e+21,2.843332507072512e+27,7562421999.08,9384.0
2017,Dominican Rep.,594.0,850.0,0.0,0.0,0.0,1444.0,1444.0,3.231784734561471,13783381350.0,275288346.4,94.26,4048658.0,5.83058023,443.6706848,6.12,204.0986182,236.2917161,59.12432,7.805287573,12.64946109,4.244873321,940000000.0,7184000000.0,533073157.8,1.10348624,6.4,594.0,1.0,5.829999924,4248691.294,Dominican Rep.,LATIN AMERICA AND THE CARIBBEAN,,5.740016e+21,3.599821711697088e+27,2523722628.6359997,9241.6
2018,Dominican Rep.,164.0,327.0,0.0,0.0,0.0,491.0,491.0,3.231784734561471,15473559834.0,295178868.9,93.0342,4048658.0,5.73288918,461.5351563,6.15,204.4886834,252.667724,59.32073,8.098377541,12.02758108,7.531896433,1006000000.0,7561000000.0,593678722.1,1.078862009,6.7,164.0,1.0,5.860000134,4230637.248,Dominican Rep.,LATIN AMERICA AND THE CARIBBEAN,,2.487281682e+21,4.5157376467048887e+27,693824508.6719999,3289.7000000000003
2019,Dominican Rep.,164.0,561.0,0.0,0.0,0.0,725.0,725.0,3.231784734561471,16172482412.0,276170576.7,91.8084,113752.0,5.929142,491.0593567,6.188,220.4702299,266.4771506,59.98867,8.658968589,11.27745355,4.712377314,1060000000.0,2651000000.0,613299023.3,1.046620579,8.3,164.0,1.0,6.360000134,7962341.372,Dominican Rep.,LATIN AMERICA AND THE CARIBBEAN,,1.57644366e+21,1.7234070534143978e+27,1305823985.0080001,6017.500000000001
2016,Ecuador,102848.0,24542.0,0.0,0.0,0.0,127390.0,127390.0,-1.226383985,9584747333.0,309401691.8,79.9576,5099726.0,7.27991486,441.170929,5.098,267.6188804,172.6911666,57.52173,9.760321861,14.8663256,-1.333781699,1454000000.0,1729000000.0,2513200000.0,1.706874588,9.7,102848.0,1.0,4.599999905,18720438.1,Ecuador,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  ,6.1697753572e+22,6.3180993512e+27,1925359617708.8,1235683.0
2017,Ecuador,92405.0,11895.0,0.0,0.0,41000.0,104300.0,145300.0,2.368386526,9891518614.0,307380213.1,79.261,5121235.0,7.42857885,461.57547,5.101,282.3891008,178.5689717,57.49538,10.59617961,14.3887522,1.888476304,1463000000.0,2018000000.0,2462700000.0,1.768502796,10.7,92405.0,1.0,3.839999914,14137128.71,Ecuador,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  ,3.511801293e+22,7.2707129418e+27,1306341378447.55,1554710.0
2018,Ecuador,101550.0,17044.0,0.0,0.0,0.0,118594.0,118594.0,1.289291933,8407278115.0,315684283.4,78.7626,5365261.0,7.86490965,495.1695862,5.109,310.3833343,184.2495862,57.6141,11.43506241,13.81720636,0.847870429,1523000000.0,2279000000.0,2549400000.0,1.765652695,11.2,101550.0,1.0,3.529999971,11167477.73,Ecuador,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  ,5.9158309348e+22,8.8487557998e+27,1134057363481.5,1328252.7999999998
2019,Ecuador,104560.0,25002.0,0.0,0.0,0.0,129562.0,129562.0,0.012105103,7331151327.0,296920813.4,78.2642,4827978.0,7.81824684,486.492157,5.121,300.5110388,185.4760346,57.7227,12.0438512,12.63890134,-0.189108996,1650000000.0,2288000000.0,2399900000.0,1.679172693,12.4,104560.0,1.0,3.809999943,35304998.14,Ecuador,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  ,9.43875504e+22,9.06010248e+27,3691490605518.4,1606568.8
2016,Egypt,213515.0,49844.0,0.0,19.0,0.0,263359.0,263378.0,3.231784734561471,11950223917.0,2437389958.0,54.207,11844962.0,5.36399841,153.4869537,5.915,47.37620217,104.5597141,55.47428,4.731924302,6.477966766,4.768264891,4351000000.0,3306000000.0,4513022527.0,2.145222268,4.6,213515.0,2.0,12.40999985,33258019.14,Egypt,MIDDLE EAST AND NORTH AFRICA ,LOWER-MIDDLE INCOME  ,7.16976332664e+23,6.491714831551396e+28,7101085956677.101,1211538.7999999998
2017,Egypt,232647.0,56557.0,0.0,0.0,0.0,289204.0,289204.0,3.231784734561471,9735818976.0,1666021728.0,53.819,11748510.0,5.63305616,113.9753799,5.863,35.30042287,78.31577233,55.79763,5.4269301,6.84847735,3.595239874,2419000000.0,8636000000.0,2765588434.0,2.090832668,4.9,232647.0,2.0,11.73999977,37525648.03,Egypt,MIDDLE EAST AND NORTH AFRICA ,LOWER-MIDDLE INCOME  ,1.181503103588e+24,5.777448093106206e+28,8730229437235.41,1417099.6
2018,Egypt,246746.0,68168.0,0.0,5.0,0.0,314914.0,314919.0,3.231784734561471,20408966151.0,1754438031.0,53.086,12386010.0,4.947577,125.545372,5.817,36.07154684,88.64061466,58.51399,6.730521069,7.991260389,4.680845684,2897000000.0,12704000000.0,3119587364.0,2.033272399,5.1,246746.0,5.0,9.819999695,30835487.01,Egypt,MIDDLE EAST AND NORTH AFRICA ,LOWER-MIDDLE INCOME  ,2.508820169984e+24,1.1481169611592563e+29,7608533077769.46,1606086.9
2019,Egypt,258391.0,69842.0,0.0,5.0,0.0,328233.0,328238.0,3.231784734561471,25992644288.0,2023978367.0,52.353,13206889.61,4.73997355,149.8403168,5.778,41.6326191,106.6213246,60.05364,7.56956556,8.726570536,4.360496105,3718000000.0,14256000000.0,3743671452.0,1.976280224,5.4,258391.0,5.0,7.840000153,56279405.31,Egypt,MIDDLE EAST AND NORTH AFRICA ,LOWER-MIDDLE INCOME  ,3.701891958336e+24,1.984288428568892e+29,14542091817456.21,1772485.2000000002
2016,El Salvador,41.0,0.0,0.0,0.0,9800.0,41.0,9841.0,2.545926086,496536947.5,70449430.34,70.2702,2603129.0,7.70530415,293.2580261,6.984,189.0635095,97.59521187,62.65253,6.219290535,14.80747051,1.962238942,451000000.0,1161000000.0,247600000.0,0.489163801,9.9,41.0,9.0,4.420000076,6561136.104,El Salvador,LATIN AMERICA AND THE CARIBBEAN,LOWER-MIDDLE INCOME  ,0.0,1.296460836e+26,269006580.264,97425.90000000001
2017,El Salvador,40.0,5.0,71500.0,0.0,4200.0,45.0,75745.0,2.246670039,663978421.5,66641125.5,69.459,2670560.0,7.21280336,282.0367432,7.011,179.7860458,101.8521814,64.70983,7.06409047,14.53373024,1.847512334,466000000.0,1227000000.0,260900000.0,0.501983868,9.1,40.0,9.0,4.389999866,2012716.563,El Salvador,LATIN AMERICA AND THE CARIBBEAN,LOWER-MIDDLE INCOME  ,2.85891e+18,1.491779238e+26,80508662.52000001,689279.5
2018,El Salvador,44.0,16.0,71501.0,0.0,4700.0,60.0,76261.0,2.432287587,549565628.8,69464902.0,68.6136,2545105.0,7.09307051,288.5174561,7.04,184.2216434,103.7076972,64.92118,7.666788252,14.3757283,2.420300892,490000000.0,1370000000.0,294610000.0,0.50927343,8.6,44.0,9.0,4.010000229,6498476.475,El Salvador,LATIN AMERICA AND THE CARIBBEAN,LOWER-MIDDLE INCOME  ,1.07408e+19,1.97771693e+26,285932964.9,655844.6
2019,El Salvador,48.0,29.0,71500.0,0.0,6800.0,77.0,78377.0,2.382581398,973486563.1,68227191.02,67.7682,2609917.0,7.16578436,300.0532837,7.07,190.474604,107.6559961,65.25247,8.136417257,13.84710097,3.015822738,504000000.0,1664000000.0,317200000.0,0.509699114,8.5,48.0,9.0,4.170000076,8402169.69,El Salvador,LATIN AMERICA AND THE CARIBBEAN,LOWER-MIDDLE INCOME  ,2.4321024e+19,2.660216832e+26,403304145.12,666204.5
2016,Estonia,312.0,43.0,0.0,82585.0,0.0,355.0,82940.0,3.155564814,2442839349.0,7917049.483,9.3846,372274.0,6.42956781,1186.102783,11.7,894.7291144,289.6072521,80.7042,31.48308786,28.14934942,4.091499442,1299000000.0,1911000000.0,497653404.3,0.029112226,2.5,312.0,7.0,6.760000229,0.0,Estonia,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,1.06742727e+20,1.2353693366468728e+27,0.0,207350.0
2017,Estonia,405.0,36.0,0.0,80314.0,0.0,441.0,80755.0,5.792044675,3381031397.0,8096320.696,7.698,13103.0,6.59183788,1350.380615,11.8,992.6257755,357.3877386,80.76691,32.47356733,27.44578934,4.704338548,1395000000.0,2124000000.0,537440226.9,0.121070631,2.5,405.0,7.0,5.760000229,0.0,Estonia,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,1.0666728e+20,1.5924246435001618e+27,0.0,201887.5
2018,Estonia,319.0,30.0,0.0,77877.0,0.0,349.0,78226.0,4.133819798,4010258932.0,9244988.985,7.0988,62802.0,6.68642807,1552.632446,11.9,1142.94799,409.3173313,80.79339,33.34842621,26.1308318,4.939855861,1647000000.0,2326000000.0,614945174.3,0.348039138,2.5,319.0,7.0,5.369999886,0.0,Estonia,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,1.1492766e+20,2.3558069970197045e+27,0.0,195565.0
2019,Estonia,331.0,33.0,0.0,75599.0,0.0,364.0,75963.0,4.096342644,4256969286.0,9577304.161,6.4996,857.0,6.7304492,1598.818848,11.6,1189.787403,408.7018553,80.61685,32.53133562,24.47014592,4.227617489,1808000000.0,2310000000.0,637035378.4,0.371554389,2.5,331.0,7.0,4.449999809,0.0,Estonia,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,1.3782384e+20,2.6605655171800317e+27,0.0,189907.5
2016,Eswatini,725.0,377.0,0.0,0.0,0.0,1102.0,1102.0,1.062610193,154152526.1,50262747.98,77.318,4048658.0,6.82044792,233.6351471,10.462,97.48945025,59.86777999,58.37605,0.62836794,3.77020764,-0.600027624,33000000.0,13199999.81,80527779.9,0.897738794,13.0,725.0,4.0,22.71999931,4598694.701,Eswatini,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  ,1.6422119763621e+17,3.5077900419530823e+22,3334053658.2250004,14326.0
2017,Eswatini,790.0,544.0,0.0,0.0,0.0,1334.0,1334.0,2.026578156,60929786.3,55040962.17,76.695,4048658.0,6.98103666,273.3828735,9.843,138.7290098,69.73609034,58.62573,0.711234392,3.645076258,0.608414676,74000000.0,13199999.81,87762823.13,0.966059893,12.4,790.0,4.0,22.75300026,6502625.406,Eswatini,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  ,5.3137919235136e+17,8.57267243994387e+22,5137074070.740001,16541.600000000002
2018,Eswatini,874.0,739.0,0.0,0.0,0.0,1613.0,1613.0,2.371610521,64666353.01,58220215.09,75.3554,51633.0,7.2573719,298.118927,9.376,144.3061466,65.81394557,58.71977,10.74233783,13.06511605,1.909607844,43000000.0,16399999.62,95863380.32,1.014213397,11.9,874.0,4.0,22.79199982,4411345.724,Eswatini,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  ,5.2114278792474e+17,6.760285423525636e+22,3855516162.7760005,19194.7
2019,Eswatini,940.0,963.0,0.0,0.0,0.0,1903.0,1903.0,2.61303529,60342613.05,50429373.68,74.0158,52744.0,6.78069067,264.0551453,9.059,133.9656747,61.12445428,59.49273,10.74233783,13.06511605,-1.11535643,33000000.0,14300000.19,86532285.97,1.038265645,11.6,940.0,4.0,22.83699989,8421046.413,Eswatini,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  ,4.5443970603801e+17,4.083458629180044e+22,7915783628.22,22074.8
2016,Ethiopia,791631.0,1948.0,0.0,0.0,535.0,793579.0,794114.0,9.433482658,15500696718.0,591181761.1,68.9772,8242114.0,3.60033059,25.07559586,6.844,6.26851668,13.73321919,44.06311,0.539557259,1.107105861,9.509533858,461000000.0,2138000000.0,490177248.5,2.708072653,13.8,791631.0,3.0,2.288000107,111566140.4,Ethiopia,SUB-SAHARAN AFRICA ,LOW-INCOME  ,1.919983864e+21,4.83127519312073e+26,88319215290992.4,10958773.200000001
2017,Ethiopia,889412.0,2593.0,1078429.0,0.0,528.0,892005.0,1970962.0,9.564189643,16992003454.0,627203085.7,66.727,9566378.0,3.45336151,24.92481232,6.691,6.21623727,9.89581332,46.14583,0.059163576,1.109963199,9.276221475,363500000.0,2505000000.0,499795483.5,2.663414482,14.0,889412.0,3.0,2.299000025,130105655.8,Ethiopia,SUB-SAHARAN AFRICA ,LOW-INCOME  ,2.3611015275e+21,4.5509752392188624e+26,115717531536389.6,27593468.0
2018,Ethiopia,903226.0,2136.0,2615800.0,0.0,452.0,905362.0,3521614.0,6.816147797,19999732666.0,647317690.6,65.0748,11501244.0,3.30818701,24.29408836,6.551,5.66116337,9.86313314,47.0561,10.74233783,13.06511605,6.943667059,612700012.2,3548000000.0,512029056.7,2.619969171,14.4,903226.0,3.0,2.318000078,102478804.7,Ethiopia,SUB-SAHARAN AFRICA ,LOW-INCOME  ,4.643364198058042e+21,1.1130793025497243e+27,92561520853962.2,50711241.6
2019,Ethiopia,733123.0,1677.0,1733628.0,0.0,392.0,734800.0,2468820.0,8.364085699,6080644355.0,673930649.5,63.4226,12631216.0,3.23808599,26.74220467,6.418,6.07131503,11.55046904,47.97613,10.74233783,13.06511605,8.067863847,661000000.0,3529000000.0,544839429.8,2.579697088,16.2,733123.0,3.0,2.325999975,246984420.2,Ethiopia,SUB-SAHARAN AFRICA ,LOW-INCOME  ,3.911885913e+21,1.270930047872136e+27,181069959090284.6,39994884.0
2016,Fiji,7.0,0.0,0.0,0.0,0.0,7.0,7.0,2.445652008,373180942.8,26226337.59,48.663,1402765.0,3.27979708,185.346756,8.17,118.4408061,61.18199781,61.26819,1.413573376,8.503219284,3.1814661893366343,119000000.0,1149000000.0,54411608.0,0.433535157,6.3,7.0,5.0,4.320000172,5488623.16,Fiji,EAST ASIA AND PACIFIC  ,UPPER-MIDDLE-INCOME  ,0.0,7.439753573448e+24,38420362.120000005,44.1
2017,Fiji,7.0,10.0,0.0,0.0,0.0,17.0,17.0,5.353364937,361546007.9,27822995.24,49.353,1557876.0,3.18689561,194.4366608,8.18,128.7771414,61.13812646,61.34481,1.3829706,8.655903011,3.1814661893366343,138000000.0,1243000000.0,75276555.01,0.577645837,6.3,7.0,5.0,4.277999878,4484264.835,Fiji,EAST ASIA AND PACIFIC  ,UPPER-MIDDLE-INCOME  ,1.71534e+18,1.291248858708534e+25,31389853.845,107.1
2018,Fiji,0.0,17.0,0.0,0.0,0.0,17.0,17.0,3.81235097,405061575.8,29466653.28,49.1406,1670216.0,3.42045617,216.0964203,8.208,146.5608938,64.79284641,61.38188,1.475184016,8.661400389,3.1814661893366343,160000000.0,1370000000.0,81378313.57,0.684860282,5.8,5253.5,5.0,4.333000183,11221590.13,Fiji,EAST ASIA AND PACIFIC  ,UPPER-MIDDLE-INCOME  ,3.7264e+18,1.7838126334544e+25,58952623747.955,98.6
2016,Finland,18402.0,5559.0,0.0,2671.0,0.0,23961.0,26632.0,2.811457767,6152678942.0,25044842.97,6.135,13754228.0,9.37796021,4107.062988,9.8,3196.664399,910.3385785,80.09777,31.1402214,8.318004232,2.209590376,6199000000.0,4017000000.0,3415008250.0,0.287421402,2.5,18402.0,6.0,8.819999695,0.0,Finland,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,1.38426788097e+23,8.503842838140976e+28,0.0,66580.0
2017,Finland,20793.0,3101.0,0.0,2749.0,0.0,23894.0,26643.0,3.19240963,11827789714.0,24261539.55,5.813,12209646.0,9.12670135,4233.468262,9.8,3302.633412,930.7155089,79.98436,31.02676267,6.858547537,2.587475665,6740000000.0,5210000000.0,3431090217.0,0.234670532,2.5,20793.0,6.0,8.640000343,0.0,Finland,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,1.088928554e+23,1.204841054060418e+29,0.0,66607.5
2018,Finland,22287.0,3264.0,0.0,2759.0,0.0,25551.0,28310.0,1.141947509,13722508529.0,26298392.4,5.6588,13364839.0,9.03608513,4515.677246,9.9,3547.373013,968.1243086,80.04165,31.45271337,5.848719873,1.765320866,7223000000.0,5762000000.0,3756949117.0,0.132641041,2.5,22287.0,6.0,7.360000134,0.0,Finland,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,1.35844174464e+23,1.5636018728618834e+29,0.0,70775.0
2019,Finland,23458.0,8719.0,0.0,2801.0,0.0,32177.0,34978.0,1.220754143,14305219631.0,29781716.01,5.5046,14610547.0,9.15348339,4450.302734,9.8,3567.672968,882.340648,80.17834,32.48281502,4.862480378,1.21119576,6841000000.0,5944000000.0,3629646216.0,0.11019169,2.5,23458.0,6.0,6.690000057,0.0,Finland,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,3.54539859976e+23,1.4759195563517126e+29,0.0,87445.0
2016,France,304527.0,62764.0,0.0,1370.0,0.0,367291.0,368661.0,1.095464404,101000000000.0,1013917595.0,5.1112,65362743.0,11.47163677,4257.149902,8.9,3198.440765,1058.709969,76.25038,42.80350858,60.31768987,1.373632235,49029000000.0,63557000000.0,47370589553.0,0.263868789,2.5,304527.0,4.0,10.05000019,0.0,France,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,1.9558116950689198e+26,1.476132066950274e+32,0.0,921652.5
2017,France,337158.0,63115.0,0.0,1425.0,0.0,400273.0,401698.0,2.291419994,123000000000.0,1009296655.0,4.727,68316473.0,11.33276176,4402.07959,9.1,3339.206923,1062.874057,76.01011,43.92180444,59.72625149,2.014161417,53787000000.0,67717000000.0,49195662250.0,0.290202116,2.5,337158.0,4.0,9.409999847,0.0,France,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,2.2988340341908497e+26,1.7918507916479127e+32,0.0,1004245.0
2018,France,368345.0,89055.0,0.0,1493.0,0.0,457400.0,458893.0,1.865066071,134000000000.0,1083732858.0,4.7362,70188028.0,11.18583012,4657.75293,9.1,3536.843883,1120.909571,76.77957,44.77576734,58.67318077,1.546477908,59131000000.0,72518000000.0,51409812839.0,0.274451849,2.5,368345.0,4.0,9.020000458,0.0,France,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,3.8187334876419004e+26,2.204484575618346e+32,0.0,1147232.5
2019,France,407915.0,102192.0,0.0,1521.0,0.0,510107.0,511628.0,1.842971814,132000000000.0,1070442898.0,4.7454,71289277.0,11.05747223,4491.735352,9.1,3382.80271,1108.932168,76.80465,45.69341975,58.0334068,1.957030289,59751000000.0,70776000000.0,50118929212.0,0.218824149,2.5,407915.0,4.0,8.409999847,0.0,France,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  ,4.32163507012992e+26,2.119497829183675e+32,0.0,1279070.0
