OldIndex,Year,Country,data counts,Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Stateless persons,Others of concern,Ref and Asyl,SUM REFUGEE,GDP_annual_change, Adjusted savings: net national savings (current US$) , Adjusted savings: particulate emission damage (current US$) ,"Adolescent fertility rate (births per 1,000 women ages 15-19)"," Air transport, passengers carried ",Current health expenditure (% of GDP), Current health expenditure per capita (current US$) ,"Death rate, crude (per 1,000 people)",Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$),Ease of doing business score (0 = lowest performance to 100 = best performance),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),GNI growth (annual %),"Internally displaced persons, new displacement associated with disasters (number of cases)","International tourism, expenditures (current US$)"," International tourism, receipts (current US$) ", Military expenditure (current USD) ,Population growth (annual %),Prevalence of undernourishment (% of population),Refugee population by country or territory of asylum,Strength of legal rights index (0=weak to 12=strong),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Net official flows from UN agencies: Total
379,2018,Germany,31,1063835,369239,0,14779,0,1433074,1447853,1.086024514,"$419,000,000,000 ","$2,524,910,017.00 ",7.8568,"109,796,202.20",11.45038891,"$5,481.99 ",11.5,4252.241002,1229.746346,79.34794,41.08544014,51.12817752,1.492191543,510,1.04E+11,"$59,446,000,000.00 ","$46,423,020,903.00 ",0.300526702,2.5,1063835,6,3.380000114,0
384,2017,Ghana,31,12153,1303,0,0,0,13456,13456,8.128894881,6735048892,696510612.4,66.611,681691,3.35796332,68.02945709,7.414,22.02634508,36.80819195,58.37525,0.195079471,1.035493922,7.131049111,23000,1581000000,919000000,189129841.5,2.220504882,7.1,12153,6,4.21999979,18132001.26
390,2017,Greece,31,38988,44188,0,198,0,83176,83374,1.09214912,-13897160384,215470287,7.223,13852857,8.10309219,1505.945923,11.6,784.6848317,718.561727,67.11485,35.74706347,48.97582183,0.747292174,800,3306000000,19139000000,5088178883,-0.197783225,2.5,38988,2,21.48999977,0
429,2018,Honduras,31,28,55,174001,0,5200,83,179284,3.84499477,3584189821,145812990.3,71.8464,411989,7.21891975,180.889801,4.437,70.95574395,104.5669095,55.97099,3.701279642,5.548920774,2.209004376,17000,558000000,601000000,385320064.2,1.667082227,13.1,28,8,5.650000095,7281022.385
434,2017,Hungary,31,5671,666,0,139,0,6337,6476,4.268557419,12224305273,227245527.1,23.979,26066294,6.75595856,985.7990112,13.5,673.7267033,312.07234,72.6828,30.38683232,32.1855598,2.233837647,96,3049000000,8448000000,1463013911,-0.265860932,2.5,5671,9,4.159999847,0
470,2017,Ireland,31,6394,5991,0,99,0,12385,12484,8.940012772,31820502944,51862030.95,7.515,153944513,7.06397724,5010.256348,6.3,3656.441175,1353.81517,80.10187,29.42806429,39.38984015,5.225861643,62,6616000000,14294000000,1025063447,1.088675561,2.5,6394,7,6.710000038,0
482,2017,Italy,31,167330,186645,0,715,0,353975,354690,1.667859041,58610638236,1141474340,5.24,26288001,8.6777401,2809.721436,10.7,2071.758762,737.9627941,73.19206,27.33701213,34.11800938,1.544261787,2100,34819000000,46719000000,26447892915,-0.149861117,2.5,167330,2,11.21000004,0
505,2016,Kazakhstan,31,647,133,0,8451,0,780,9231,1.1,18170486463,259026050.4,30.062,5007869,3.42235565,263.4837341,7.37,157.0769313,105.923532,74.84879,13.17880684,22.04655839,-3.529631759,1000,2580000000,2038000000,1281103432,1.42204614,2.5,647,4,4.960000038,4119744.901
590,2017,Malaysia,31,103837,47509,0,10068,80000,151346,241414,5.81272241,22082132929,493691843.7,13.414,58711937,3.70413661,380.0152283,5.014,197.2014626,182.8137542,78.77204,8.641152836,21.156968,5.730933563,82000,12145000000,20311000000,3494832257,1.359489171,3.4,103837,7,3.410000086,8575575.203
675,2017,Nepal,31,21467,148,0,0,625,21615,22240,8.977279356,10349267618,288584167.2,65.121,2443630.512,4.72173262,50.3108139,6.404,11.35226956,31.20206749,59.98159,1.821053846,3.116957779,8.737705415,384000,886000000,712000000,436745563.5,1.345295889,4.2,21467,10,3.318000078,39018683.64
686,2016,New Zealand,31,1408,298,0,0,0,1706,1706,3.730079893,12710446016,38277309.54,20.0018,15300409,9.23865223,3746.476807,6.61,2793.131959,953.3148632,87.16633,32.84852868,37.77419829,4.734689087,1800,4010000000,9773000000,2093352062,2.2460321,2.5,1408,12,5.150000095,0
704,2016,Nigeria,31,1357,464,2219272,0,0,1821,2221093,-1.61686895,14564713055,10790311859,109.274,4110075,3.64773679,79.37476349,12.39,10.33533363,60.85023904,48.47451,0.058039826,0.083089266,-1.089104391,78000,4524000000,1088000000,1723204266,2.627675151,9.4,1357,6,7.059999943,100667811.2
706,2018,Nigeria,31,34727,940,2167925,0,0,35667,2203592,1.922757342,28410820579,10342109475,105.447,7786143.994,3.09069371,66.5456543,11.86,10.71259516,50.92202925,53.40471,0.037761388,0.071724941,0.526158128,613000,13218000000,1977000000,2043051719,2.586551303,10.7,34727,9,8.456000328,104540636.3
758,2016,Philippines,31,392,205,87418,4636,68,597,92719,7.14945675,82394345860,2359160866,54.779,40206684,3.95484376,121.5583191,5.815,45.29753107,73.50657931,59.25872,2.879936428,3.648295178,6.762124791,5930000,11681000000,6289000000,3331502847,1.507102557,12.1,392,1,2.700000048,26328034.79
759,2017,Philippines,31,512,210,311943,2678,68,722,315411,6.930988326,86911088399,2250567319,54.154,39341995,3.960428,123.6938324,5.839,46.30892102,74.67111612,59.33172,3.232097044,3.958511185,6.81740652,2529000,12442000000,8349000000,4096341612,1.445277607,10.9,512,1,2.549999952,25434511.23
771,2017,Portugal,31,1619,45,0,14,0,1664,1678,3.506345285,1670995570,92285297.59,8.38,15937325,9.30583763,1998.064697,10.7,1221.573842,774.6028636,76.50889,34.74392398,46.95797562,3.272068417,6800,5509000000,21586000000,3675687230,-0.24388941,2.5,1619,2,8.869999886,0
796,2018,Romania,31,4134,1476,0,227,0,5610,5837,4.474523775,1938096533,373892487.7,35.535,4908235,5.56050777,687.1541138,13.6,547.5979826,139.5561394,72.51292,26.09438251,18.76334774,3.957734276,1200,6109000000,3879000000,4359021209,-0.587493307,2.5,4134,9,4.190000057,0
800,2016,Russian Federation,31,228981,3025,0,90771,0,232006,322777,0.193690072,1.47E+11,2107154235,21.8432,77458318,5.28970242,464.8977661,14.2,264.7594786,200.1382592,75.25999,18.94519321,22.21753909,0.294810774,3600,27654000000,12822000000,69245294553,0.170245239,2.5,228981,7,5.559999943,0
876,2016,South Africa,31,91018,218275,0,0,0,309293,309293,0.664552308,6975899823,1421255050,68.7216,19744932,8.82142925,465.0881043,9.599,263.2500032,192.3311956,65.40686,2.04735491,8.046681051,0.37593827,12000,5354000000,8807000000,3139312128,1.471933429,5.4,91018,5,26.54000092,21103034.38
897,2019,Sri Lanka,31,1041,361,25110,0,0,1402,26512,2.255176529,15212867450,253012122.1,20.4548,5582446,4.07979679,160.6969605,6.75,75.88446572,82.62681977,61.80614,7.814377529,10.7460734,2.140359706,87000,2436000000,4663000000,1699785117,0.611875946,6.8,1041,2,4.349999905,27436177.31
919,2017,Switzerland,31,93030,23728,0,62,0,116758,116820,1.584819616,58774251781,266609407.1,2.763,26732570,11.48099899,9606.349609,7.9,3031.386042,6574.963735,76.60784,46.31990051,42.09370274,-0.270362565,160,21501000000,20399000000,4628401509,0.933155889,2.5,93030,6,4.800000191,0
920,2018,Switzerland,31,104011,14776,0,49,0,118787,118836,2.916905098,84606904166,281824790.6,2.6438,28857994,11.37997055,9870.664063,7.9,3081.697675,6788.967168,76.61632,45.55542119,38.37825817,0.153919921,18,21441000000,21294000000,4654732701,0.736633975,2.5,104011,6,4.710000038,0
943,2017,Togo,31,12425,744,0,0,0,13169,13169,4.347748238,692311881.9,113760997.1,89.091,500686,6.49387741,53.94796753,8.568,8.70843702,37.13871089,48.7524,0.656623637,0.469066987,3.680322502,50,57000000,245000000,88414114.92,2.479331291,21.2,12425,6,3.74000001,13875671.86
77,2017,Bangladesh,31,932209,115,0,932204,0,932324,1864528,7.284174423,67253326820,2025391329,82.962,4660739.038,2.43180156,37.40678406,5.533,6.24578523,28.62951414,41.5632,4.571801118,0.443101181,5.8778005,946000,1127000000,348000000,3266033239,1.075535249,12.5,932209,5,4.369999886,66835302.78
141,2016,Bulgaria,31,17794,16030,0,67,0,33824,33891,3.039825276,5306937214,158924922.9,40.6392,1092333,7.47690725,562.3408203,15.1,310.0373399,252.3035446,71.59242,23.73603406,20.67931654,2.979650262,24,1636000000,4148000000,670592858.4,-0.701382098,3.6,17794,8,7.570000172,0
143,2018,Bulgaria,31,19906,1560,0,92,0,21466,21558,2.684576131,6273111383,200643513.1,39.3266,1022645,7.3434248,689.9053955,15.4,397.6374404,292.2678843,71.80724,27.0001679,15.88846119,2.112205705,50,2247000000,5061000000,961297274.6,-0.722080405,2.8,19906,8,5.210000038,0
148,2017,Burkina Faso,31,24152,43,2350,0,0,24195,26545,6.203489411,1142539945,368567983.1,104.329,145049,6.02940798,44.51367188,8.341,19.27521451,17.22731088,51.15106,0.064402904,0.395972873,6.982426223,8200,182000000,172000000,191065838.8,2.890750882,12.4,24152,6,4.563000202,36054907.92
165,2016,Cambodia,31,61,170,0,0,0,231,231,6.933313973,2153810400,104125820.3,49.9048,1047394,6.11648464,77.65436554,6.051,16.93399564,46.00497325,53.15749,0.619302243,1.441435944,6.830668241,8300,762000000,3523000000,382205260.4,1.565214466,8.5,61,10,0.720000029,26858441.78
166,2017,Cambodia,31,61,44,0,0,0,105,105,6.996903699,2938737217,109558154.8,50.177,1305297,5.72757244,79.27455139,6.017,21.01974791,50.96594924,53.38889,0.834715385,0.830205537,6.848804581,15000,919000000,4024000000,458262797.9,1.530274527,7.7,61,10,0.140000001,23278568.98
246,2017,Croatia,31,508,406,0,2873,8019,914,11806,3.41409226,5712755802,60306346.57,8.681,2057804,6.75844765,902.6252441,13,747.7879032,154.8252238,72.60762,26.19934174,33.50231672,5.024259257,230,1410000000,10534000000,920837052.9,-1.200610165,2.5,508,5,11.21000004,0
302,2019,Ecuador,31,104560,25002,0,0,0,129562,129562,0.012105103,7331151327,296920813.4,78.2642,4827978,7.81824684,486.492157,5.121,300.5110388,185.4760346,57.7227,12.0438512,12.63890134,-0.189108996,1100,1650000000,2288000000,2399900000,1.679172693,12.4,104560,1,3.809999943,35304998.14
349,2018,Finland,31,22287,3264,0,2759,0,25551,28310,1.141947509,13722508529,26298392.4,5.6588,13364839,9.03608513,4515.677246,9.9,3547.373013,968.1243086,80.04165,31.45271337,5.848719873,1.765320866,51,7223000000,5762000000,3756949117,0.132641041,2.5,22287,6,7.360000134,0
353,2016,France,31,304527,62764,0,1370,0,367291,368661,1.095464404,1.01E+11,1013917595,5.1112,65362743,11.47163677,4257.149902,8.9,3198.440765,1058.709969,76.25038,42.80350858,60.31768987,1.373632235,190,49029000000,63557000000,47370589553,0.263868789,2.5,304527,4,10.05000019,0
378,2017,Germany,31,970357,429265,0,13458,0,1399622,1413080,2.680231114,"$393,000,000,000 ","$2,338,092,012.00 ",8.095,"114,160,685.00",11.32935143,"$5,055.82 ",11.3,3929.435402,1126.372439,79.34962,40.21768674,53.71504308,2.229785151,220,97163000000,"$55,750,000,000.00 ","$42,210,258,091.00 ",0.37372456,2.5,970357,6,3.75,0
483,2018,Italy,31,189227,105606,0,732,0,294833,295565,0.925810941,72145038469,1223520358,5.11,27243741,8.67509365,3000.710938,10.5,2215.822542,784.8884477,73.04291,28.3006229,33.64260989,1.332969068,3300,37644000000,51602000000,28420098438,-0.19006364,2.5,189227,2,10.60999966,0
493,2016,Japan,31,2512,18801,0,626,0,21313,21939,0.753826746,2.46E+11,3859594575,3.9198,117708000,10.65891647,4174.422363,10.5,3508.067751,666.3542378,77.9374,31.15573635,50.19470033,1.189258597,864000,25968000000,33456000000,46471287714,-0.115284177,2.5,2512,5,3.099999905,0
507,2018,Kazakhstan,31,568,190,0,7690,0,758,8448,4.1,29993018978,305937210.3,29.364,5920110,2.8178606,275.8546143,7.14,167.8211466,107.6063445,78.04085,13.43532382,17.50091077,1.387066156,400,2852000000,2651000000,1572401182,1.314522985,2.5,568,6,4.849999905,3496317.238
579,2018,Madagascar,31,39,90,0,0,0,129,129,3.194356515,1194263664,212994888.3,107.7374,541290,4.19787312,22.33701324,6.055,7.87811298,7.84974928,47.04235,0.103612351,0.262909059,3.165291864,75000,309000000,879000000,73258425.24,2.669517227,42.6,39,2,1.843000054,52123447.01
591,2018,Malaysia,31,121305,41801,0,9631,80000,163106,252737,4.84305661,15943795313,553261591.2,13.4668,60481772,3.74833083,426.4685974,5.09,218.8880139,207.5805841,81.33541,8.551120205,23.56315727,4.530520902,38000,13207000000,21775000000,3445043720,1.351960014,3.2,121305,7,3.299999952,8518813.983
615,2018,Mauritius,31,16,0,0,0,0,16,16,3.759677227,741958471.5,24549939.74,25.2786,1745291,5.86705875,656.6224976,8.5,288.5119421,364.8339762,80.33655,21.67797125,34.27281731,5.290561325,3600,663000000,2161000000,22917094.04,0.054547267,5.7,16,6,6.429999828,1162961.818
622,2019,Mexico,31,28517,70319,0,13,140710,98836,239559,-0.176599456,78521883723,2300131931,58.5434,69937838,5.43305254,540.3723145,6.082,266.4452825,273.9270132,72.35556,15.1715679,17.77624297,-0.411442848,16000,12300000000,25847000000,6650808254,1.091366887,7.2,28517,10,3.480000019,23077993.63
749,2019,Paraguay,31,1014,680,0,0,0,1694,1694,-0.401855101,5683299234,78424292.31,69.8608,632389,7.17281008,388.3932495,5.539,178.6576915,209.6956792,59.05401,5.356969473,3.870405795,-0.03929085,54000,552000000,409000000,375779511.4,1.265238609,9.2,1014,1,6.590000153,10936704.55
761,2019,Philippines,31,680,319,178897,383,129734,999,310013,6.118525663,81816878408,2464267509,55.3644,47776892,4.07676649,142.0787659,5.92,57.68075683,83.80857825,62.82943,5.475649603,3.936312656,5.424620243,4094000,12926000000,11455000000,3471584034,1.364496223,9.4,680,1,2.24000001,45930697.16
770,2016,Portugal,31,1189,850,0,14,0,2039,2053,2.019485396,-1867767241,90166125.64,8.9868,13105120,9.39439583,1875.242188,10.7,1154.66029,718.8810604,76.66433,32.69172996,46.36733699,2.934419933,1100,4707000000,17347000000,4133066817,-0.315459017,2.5,1189,2,11.06999969,0
801,2017,Russian Federation,31,126021,2168,0,82148,0,128189,210337,1.825790064,1.92E+11,2256291851,20.699,89373638,5.35889769,579.6721802,13.7,330.9275936,248.7445776,76.54336,21.37237509,21.95564763,1.872823967,5900,35584000000,14938000000,66913033537,0.106870569,2.5,126021,9,5.210000038,0
809,2019,Rwanda,31,145054,613,0,0,5323,145667,150990,9.460682482,266940709.8,127828210.8,38.59,1561562.214,6.41066742,51.39912415,5.123,20.53217344,13.49944573,76.48282,0.070365369,0.090227648,9.74157952,12000,382799987.8,635900024.4,124073352.6,2.607313746,35.2,145054,11,1.09800005,72873932.36
830,2017,Senegal,31,14646,3368,0,0,0,18014,18014,7.407486186,2818193356,299871319.4,72.725,21038,3.99707484,54.4282608,5.845,13.02462232,32.59528293,54.01704,0.725030327,1.884877805,7.199767237,630,295000000,470000000,305441261.6,2.800576602,7.9,14646,6,3.690000057,26750641.05
879,2019,South Africa,31,78395,188235,0,0,0,266630,266630,0.113053697,3174940711,1593076789,67.7896,26211258,9.10935497,546.6884155,9.398,321.2341724,219.421439,67.01897,2.135233845,3.457632884,0.388087447,1700,5866000000,9064000000,3435736037,1.31629201,6.5,78395,5,28.46999931,17902181.65
8,2018,Albania,31,132,159,0,4160,76,291,4527,4.019359686,-30066626.74,40208267.81,19.5724,303137,5.23207188,274.914093,7.898,148.4365691,122.7705417,66.99561,12.55565885,8.62481528,3.653887284,110,1750000000,2306000000,175886688.6,-0.246732042,4,132,8,12.30000019,2756769.589
78,2018,Bangladesh,31,906640,39,0,906635,0,906679,1813314,7.86375358,68547115468,2228326299,82.3128,5677396,2.50803041,41.90407562,5.529,7.1157897,32.05437139,42.46602,4.990118524,0.8982994,8.123171812,78000,1207000000,357000000,3649623808,1.0535703,10.8,906640,5,4.413000107,66803775.3
94,2018,Belgium,31,42158,19550,0,7695,0,61708,69403,1.819203664,32740745583,260058910.3,4.5704,13639487,10.76469994,5134.414551,9.7,3944.487293,1189.927403,74.74503,39.21686286,35.76729084,1.136139114,50,20789000000,10319000000,4840126058,0.455184695,2.5,42158,8,5.949999809,0
247,2018,Croatia,31,787,198,0,2886,4376,985,8247,2.900009599,6441583406,66715421.61,8.2652,2093577,6.78430557,1014.222351,12.9,843.9278586,170.249604,72.95462,27.14540571,32.61621521,2.901007155,140,1741000000,11348000000,966358716.8,-0.893486928,2.5,787,5,8.430000305,0
265,2018,Cyprus,31,11002,10267,0,0,6000,21269,27269,5.692841724,876319413,19256530.92,4.4586,401408,6.77018547,1981.778442,7.022,845.7064859,1128.64209,72.77735,35.78741866,35.57015641,4.987048965,8,1569000000,3449000000,450408979.9,0.808549298,2.5,11002,7,8.369999886,0
335,2016,Ethiopia,31,791631,1948,0,0,535,793579,794114,9.433482658,15500696718,591181761.1,68.9772,8242114,3.60033059,25.07559586,6.844,6.26851668,13.73321919,44.06311,0.539557259,1.107105861,9.509533858,347000,461000000,2138000000,490177248.5,2.708072653,13.8,791631,3,2.288000107,111566140.4
336,2017,Ethiopia,31,889412,2593,1078429,0,528,892005,1970962,9.564189643,16992003454,627203085.7,66.727,9566378,3.45336151,24.92481232,6.691,6.21623727,9.89581332,46.14583,0.059163576,1.109963199,9.276221475,434000,363500000,2505000000,499795483.5,2.663414482,14,889412,3,2.299000025,130105655.8
385,2018,Ghana,31,11896,1312,0,0,0,13208,13208,6.200077681,6424576037,779445912.4,65.7842,467624,3.48865867,76.83074188,7.309,30.31431857,38.04810573,60.43442,0.205824537,0.93519013,6.588631938,61000,1329000000,996000000,218444253.6,2.192852874,6.4,11896,6,4.276000023,24507535.73
386,2019,Ghana,31,11946,1518,0,0,0,13464,13464,6.507774794,9274472342,674363033,64.9574,597343,3.41858864,75.28166199,7.219,30.29393762,36.49999348,59.96017,0.192380423,0.948557979,6.929776651,16000,1380000000,1490000000,233320137,2.162584462,6.1,11946,6,4.315999985,56977359.56
445,2016,India,31,197848,9209,0,0,0,207057,207057,8.256305502,4.69E+11,26782457098,16.152,119577835,3.50430417,60.60255051,7.195,16.26476444,43.94884325,55.94046,1.408310236,1.842482612,7.29946829,2400000,19184000000,23111000000,56637622641,1.090459321,14.2,197848,6,5.422999859,104694949.3
446,2017,India,31,197142,10508,0,0,0,207650,207650,6.795383419,5.58E+11,29383251281,13.177,139752424,2.93597651,57.55659103,7.21,18.96377172,38.25397734,60.9076,1.333856253,1.735645771,7.823742636,1346000,21856000000,27878000000,64559435281,1.06335943,13.8,197142,8,5.357999802,109485446.6
464,2017,Iraq,31,277668,13035,2615988,47630,0,290703,2954321,-1.819750351,15649793689,1092282550,71.733,1591490.01,4.19215298,214.3563385,4.826,89.73070913,124.4474537,44.61783,11.42900974,8.622152378,-1.759300742,3900,8093000000,2959000000,7416385135,2.540895973,37.9,277668,0,13.02000046,20814351.14
465,2018,Iraq,31,283018,14013,1802832,47515,6,297031,2147384,2.633850991,20408968240,1249931578,71.7416,4812610,4.24407291,239.4129791,4.776,115.2330111,122.9745558,44.65481,11.68854336,7.038185338,2.538825048,65000,7855000000,1986000000,6317977150,2.318453133,37.4,283018,0,12.9659996,21518302.79
477,2018,Israel,31,18554,35569,0,42,0,54123,54165,3.983424594,41037132950,324559917.9,9.192,7404373,7.53235054,3329.23291,5,2149.076685,1113.964388,74.98013,29.05202352,38.17925063,3.767615602,80,9975000000,8048000000,19759173451,1.926622865,2.5,18554,6,4,0
502,2019,Jordan,31,693668,51432,0,0,2117,745100,747217,1.955466358,4276000011,119173805.9,25.8058,3478444,7.58246946,334.04422,3.889,170.9477651,152.6269831,68.97453,4.528903766,3.519578003,2.440128521,46,1569000000,6765000000,2032112676,1.35921633,9.5,2966079,11,16.80999947,301502514.2
592,2019,Malaysia,31,129107,50730,0,108332,55000,179837,343169,4.439471288,10256349559,586012191.9,13.5196,63623130,3.82514191,436.61203,5.17,227.8968701,208.7151676,81.47337,9.278625012,23.17731357,4.971008068,63000,13694000000,22200000000,3769026335,1.328849015,3.2,129107,7,3.25999999,16693798.52
638,2016,Montenegro,31,970,73,0,3237,11451,1043,15731,2.949280321,-175619221.1,12739756.77,10.1164,544597,8.63302994,601.9786987,10.484,361.89262,240.0860645,71.22233,18.30935619,23.59692251,1.627246175,400,91000000,978000000,61714551.61,0.023142531,2.5,970,12,17.71999931,3299575.636
640,2018,Montenegro,31,727,162,0,145,12293,889,13327,5.077888811,37643311.79,16058182.66,8.781,565522,8.34355545,731.4810791,10.682,435.605952,295.8751291,73.70804,25.33079328,27.53703754,4.151712252,6,73000000,1224000000,78906554.3,-0.023461353,2.5,727,12,15.17000008,4293178.737
650,2016,Mozambique,31,4663,12976,15128,0,0,17639,32767,3.824214319,-1059886767,133330003.1,150.7298,632965,7.17241096,30.76436615,9.463,7.00548446,5.31864434,52.06337,0.167441983,0.296159481,3.528069032,7000,290000000,114000000,110463709.3,2.872081035,31.5,4663,1,3.447000027,50256442.55
652,2018,Mozambique,31,4910,21133,0,0,0,26043,26043,3.44381384,-1003339395,164331894,146.2508,540124,8.09185696,40.72650528,8.544,9.11512623,6.24067027,54.56326,0.237801704,0.213608596,4.640236097,31000,135000000,331000000,196535452.8,2.913618318,31,4910,1,3.45600009,44366740.88
664,2018,Namibia,31,2394,1516,0,0,7,3910,3917,1.059943471,97711011.2,108670831.1,61.632,602893,8.31428051,464.4840698,8.057,216.2676162,226.5153551,61.35142,2.531061336,6.323405496,-0.985141403,13,69000000,488000000,455569084.3,1.883284894,19.9,2394,5,19.87999916,5333741.919
674,2016,Nepal,31,25249,71,0,0,849,25320,26169,0.433113719,7290324509,265475313.1,67.3106,634292,5.42379808,48.31941986,6.451,8.97753768,33.68471817,58.02771,0.822288228,3.147941787,0.311286066,31000,634000000,498000000,356495278.6,0.91527549,4.5,25249,6,2.868000031,44863650.15
676,2018,Nepal,31,20804,51,0,0,542,20855,21397,7.622376105,12273643264,332969847.7,64.399,4525805,4.5284524,51.13627625,6.361,12.05119387,32.16227062,59.65408,2.81879649,2.845159941,7.238616739,12000,915000000,740000000,429373005.9,1.66177642,4.3,20804,10,3.193000078,36231560.36
687,2017,New Zealand,31,1465,391,0,0,0,1856,1856,3.613281553,14910743725,41806071.38,19.27,16271523,9.01967621,3940.390381,6.92,2973.247302,967.052916,87.02213,33.66628144,38.06863158,5.057714045,6300,4463000000,10594000000,2328156653,2.088722723,2.5,1465,12,4.739999771,0
707,2019,Nigeria,31,54157,1033,2195779,0,0,55190,2250969,2.208429277,47088063219,11079645672,103.564,6539048.353,3.02666044,71.46572876,11.63,11.39634837,50.95768036,56.87589,0.041480149,0.053320104,3.48362972,157000,16406000000,1471000000,1860260430,2.564871955,14.6,54157,9,8.529999733,348044335.4
731,2019,Pakistan,31,1419596,8546,100680,0,0,1428142,1528822,1.144749605,"$21,139,844,203 ","$6,290,075,119.00 ",37.6192,"7,420,378.25",3.37992716,$39.50 ,6.893,12.63377025,24.06319261,60.95491,0.941881193,1.282865154,0.853456602,100000,2998000000,"$992,000,000.00 ","$10,388,318,165.00 ",2.02296716,12.9,1419596,2,3.542000055,238231013
737,2019,Panama,31,2536,17673,0,0,0,20209,20209,2.979715461,13979555054,46664320.72,80.2492,12497758,7.58405781,1192.820801,5.108,788.6170532,403.0988903,66.56045,12.61365111,15.28706759,3.331455913,240,1623000000,7052000000,0,1.651930147,7.5,2536,8,4.725999832,7136560.522
807,2017,Rwanda,31,170991,438,0,0,1844,171429,173273,3.976289694,283909670.5,125825702.6,39.114,1031957.04,6.38999128,49.34806442,5.308,17.21278856,12.72342155,71.07347,0.181788422,0.10293832,3.517569747,5000,419000000,496500000,115716812.4,2.639762453,34.5,170991,10,1.136999965,54893847.62
900,2016,Sudan,31,421459,16056,2225557,0,3758,437515,2666830,3.467642184,9565445110,1074262607,67.196,292843,5.48409986,165.8524628,7.34,39.01167374,123.4705652,44.82494,0.06619246,0.342486251,3.684543922,123000,203000000,1009000000,2748511976,2.398795478,11.8,421459,3,17.52000046,29923367.8
12,2016,Algeria,31,94220,5700,0,0,0,99920,99920,3.2,46381785226,520653438.1,10.368,6093416,6.60749578,260.761261,4.717,176.5028096,84.20603642,46.10981,7.051711073,8.396034839,4.623156706,2000,556000000,246000000,10217081700,2.051352373,2.8,94220,2,10.19999981,6514847.927
436,2019,Hungary,31,5750,222,0,76,0,5972,6048,4.554063072,19563980986,263643063.8,24.5722,39803373,6.35002232,1062.394165,13.3,722.2391597,340.1549954,73.41584,32.93541273,31.48017606,6.113301236,110,3352000000,10225000000,2051055453,-0.04525571,2.5,5750,9,3.420000076,0
448,2019,India,31,195103,12385,0,17730,0,207488,225218,4.041554187,5.13E+11,31096127469,10.9646,167499116,3.0141468,63.74832153,7.265,20.90209403,42.31466403,71.04511,1.401954779,1.537197094,4.164757547,5018000,28595000000,31661000000,71468900524,1.013261249,15.3,195103,9,5.269999981,192563042.7
478,2019,Israel,31,16107,38479,0,42,0,54586,54628,3.77358981,45824638680,343872244.5,8.777,7068458,7.46131897,3456.386963,5.1,2239.034808,1145.334436,76.67572,29.12184776,36.85715517,4.534725815,1200,10389000000,8459000000,20504377104,1.90898264,2.5,16107,6,3.799999952,0
484,2019,Italy,31,207602,47030,0,15822,0,254632,270454,0.410278294,68193357338,1181600178,4.98,27760301,8.66856861,2905.5,10.5,2147.725806,757.7742738,72.85055,28.85296013,32.23684529,0.415815505,3400,37908000000,51910000000,26380673981,-1.153028424,2.5,207602,2,9.949999809,0
495,2018,Japan,31,1893,29040,0,709,0,30933,31642,0.558851275,2.61E+11,3761831274,3.6644,126387527,10.74838829,4256.095703,11,3565.371632,690.7239852,78.04159,32.62230968,49.94083199,-0.095092893,146000,28097000000,45276000000,46617954864,-0.202670345,2.5,1893,5,2.400000095,0
577,2016,Madagascar,31,22,27,0,0,0,49,49,3.993146064,659703657.9,189793015.6,111.6784,441861,5.25697422,25.02086639,6.324,11.28941048,7.11706534,42.74769,0.10598782,0.596861861,3.604426295,51000,300000000,912000000,59394995.92,2.688176654,41.6,22,2,1.804999948,38555587.25
608,2017,Mauritania,31,77425,746,0,0,0,78171,78171,6.270545694,1399068461,64778257.66,71.049,418817,3.33722878,52.66540146,7.339,19.55020353,28.61776895,48.44839,0.295079824,1.33230747,6.739150562,2900,61000000,24000000,143769318.6,2.819234622,8.6,77425,2,10.34000015,23540233.48
651,2017,Mozambique,31,4876,18795,15128,0,0,23671,38799,3.741317593,-1030937300,144852495.6,148.626,569211,7.75916147,35.80190659,8.964,7.68312264,5.67514518,52.78803,0.215159207,0.281144017,2.743993088,170000,237000000,164000000,129258386.2,2.900672261,31.4,4876,1,3.450999975,47486850.03
653,2019,Mozambique,31,4713,20975,180516,0,0,25688,206204,2.31460601,-604975893.8,166527379.3,143.8756,587364,7.83351135,39.46094131,8.208,8.39857465,6.31419496,54.9955,0.230438375,0.266057117,2.30907766,506000,99000000,324000000,217451322.3,2.907001146,31.2,4713,1,3.46600008,130473739.6
663,2017,Namibia,31,2182,1889,0,0,7,4071,4078,-1.027250827,248727413.7,104235051.7,63.627,623076,8.72573948,468.0405579,8.23,217.6558928,218.6759362,61.10494,2.737788085,8.034726902,-0.920699767,3400,92000000,449000000,456081144.8,1.87285954,20,2182,5,21.63899994,5710180.431
688,2018,New Zealand,31,1545,446,0,0,0,1991,1991,3.20574788,15202867763,42866051.46,18.6046,17249049.95,9.21034622,4037.462891,6.78,3021.277157,1016.331319,87.00452,34.72389862,37.10629118,3.513154945,990,4603000000,10961000000,2525003415,1.791240168,2.5,1545,12,4.329999924,0
